frame,time_s,rx,ry,gx,gy
664,11.063392504930967,176,3823,1504,2150
665,11.080054240631164,182,3823,1535,2117
666,11.09671597633136,450,3830,1557,2089
667,11.113377712031559,388,3829,1576,2062
668,11.130039447731756,323,3826,1589,2042
669,11.146701183431952,466,3830,1598,2027
670,11.16336291913215,327,3826,1603,2019
671,11.180024654832348,321,3824,1604,2017
672,11.196686390532545,212,3826,1600,2024
673,11.213348126232741,254,3826,1595,2034
674,11.230009861932938,231,3819,1584,2047
675,11.246671597633137,105,3815,1570,2068
