frame,time_s,rx,ry,gx,gy
61,1.0163658777120315,434,520,1253,2300
62,1.0330276134122287,419,565,1355,2259
63,1.049689349112426,398,618,1491,2174
64,1.0663510848126232,373,683,1593,2039
65,1.0830128205128204,343,751,1640,1942
66,1.0996745562130177,303,830,1665,1844
67,1.116336291913215,253,923,1675,1758
68,1.1329980276134122,198,1033,1675,1686
69,1.1496597633136094,134,1151,1665,1619
70,1.1663214990138067,76,1249,1651,1564
71,1.182983234714004,22,1332,1634,1518
72,1.1996449704142012,164,3818,1616,1476
73,1.2163067061143984,221,3819,1596,1439
74,1.2329684418145956,204,3820,1576,1408
75,1.2496301775147929,195,3819,1556,1379
76,1.2662919132149901,198,3820,1537,1356
77,1.2829536489151874,165,3820,1521,1337
78,1.2996153846153846,188,3821,1506,1322
79,1.3162771203155819,157,3820,1496,1311
80,1.332938856015779,154,3820,1490,1306
81,1.3496005917159763,141,3820,1489,1304
82,1.3662623274161736,158,3821,1492,1308
83,1.3829240631163708,157,3822,1500,1316
84,1.399585798816568,159,3822,1514,1330
85,1.4162475345167653,174,3823,1531,1350
86,1.4329092702169626,154,3825,1553,1375
87,1.4495710059171598,2017,1468,1580,1412
88,1.466232741617357,2032,1572,1607,1457
89,1.4828944773175543,2040,1685,1633,1512
90,1.4995562130177515,2042,1806,1657,1583
91,1.5162179487179488,174,3825,1671,1664
92,1.532879684418146,2028,2029,1676,1756
93,1.5495414201183433,2009,2141,1662,1868
94,1.5662031558185405,1980,2236,1612,1987
95,1.5828648915187378,178,3826,474,795
96,1.599526627218935,1852,2403,1454,2199
97,1.6161883629191323,1743,2480,1329,2282
98,1.6328500986193295,1584,2562,1236,2304
99,1.6495118343195267,1397,2637,1087,2324
100,1.666173570019724,1180,2692,965,2312
101,1.682835305719921,930,2706,875,2285
102,1.6994970414201183,661,2643,794,2245
103,1.7161587771203155,439,2507,729,2199
104,1.7328205128205127,276,2297,676,2150
105,1.74948224852071,194,2072,623,2089
106,1.7661439842209072,214,3824,575,2016
107,1.7828057199211045,213,3824,539,1939
108,1.7994674556213017,175,3821,517,1863
109,1.816129191321499,176,3820,506,1778
110,1.8327909270216962,222,3822,505,1703
111,1.8494526627218935,240,3823,512,1635
112,1.8661143984220907,191,3820,527,1574
113,1.882776134122288,224,3821,544,1524
114,1.8994378698224852,238,3821,562,1484
115,1.9160996055226824,628,1014,580,1448
116,1.9327613412228797,681,994,596,1421
117,1.949423076923077,396,3827,609,1401
118,1.9660848126232742,186,3821,620,1386
119,1.9827465483234714,209,3823,627,1376
120,1.9994082840236687,2141,3002,631,1372
121,2.016070019723866,292,3827,632,1371
122,2.032731755424063,311,3827,630,1373
123,2.04939349112426,305,3827,626,1379
124,2.0660552268244574,1050,1308,619,1387
125,2.0827169625246547,240,3827,612,1397
126,2.099378698224852,1029,1525,603,1409
127,2.116040433925049,392,3829,592,1427
128,2.1327021696252464,905,1750,577,1451
129,2.1493639053254436,819,1847,560,1485
130,2.166025641025641,716,1939,541,1534
131,2.182687376725838,614,2022,523,1590
132,2.1993491124260354,503,2100,511,1658
133,2.2160108481262326,383,2168,504,1746
134,2.23267258382643,276,2213,513,1845
135,2.249334319526627,204,2216,549,1963
136,2.2659960552268243,202,2170,618,2084
137,2.2826577909270216,278,2125,696,2172
138,2.299319526627219,395,2101,800,2247
139,2.315981262327416,531,2101,918,2302
140,2.3326429980276133,654,2120,1030,2322
141,2.3493047337278106,766,2155,1171,2319
142,2.365966469428008,870,2209,1286,2293
143,2.382628205128205,982,2293,1402,2236
144,2.3992899408284023,1141,2378,1502,2153
145,2.4159516765285995,1337,2441,1566,2079
146,2.432613412228797,1571,2313,1602,2019
147,2.449275147928994,1820,2372,1620,1986
148,2.4659368836291913,1995,2207,1622,1982
149,2.4825986193293885,2061,1914,1620,1986
150,2.4992603550295858,81,3818,1625,1976
151,2.515922090729783,255,3822,1637,1948
152,2.5325838264299803,1513,1483,1651,1905
153,2.5492455621301775,246,3821,1666,1844
154,2.5659072978303747,195,3819,1675,1775
155,2.582569033530572,1276,1868,1676,1711
156,2.5992307692307692,1410,2026,1672,1667
157,2.6158925049309665,1579,2086,1670,1651
158,2.6325542406311637,1789,2089,1671,1665
159,2.649215976331361,1968,2035,1676,1708
160,2.665877712031558,2092,1917,1675,1779
161,2.6825394477317555,2098,1763,1665,1861
162,2.6992011834319527,1975,1640,1639,1943
163,2.71586291913215,89,3819,1611,2004
164,2.732524654832347,1574,1616,1580,2055
165,2.7491863905325444,85,3819,1545,2104
166,2.7658481262327417,59,3818,1505,2148
167,2.782509861932939,1043,2041,1458,2191
168,2.799171597633136,953,2262,1393,2239
169,2.8158333333333334,915,2481,1309,2283
170,2.8324950690335307,950,2662,1212,2311
171,2.849156804733728,1054,2748,1048,2327
172,2.865818540433925,1159,2667,918,2299
173,2.8824802761341224,1204,2487,823,2261
